Sygnatura czasowa,Adres e-mail,Where are you coming from to us? / Skąd do nas przyjedziesz?,First name / Imię,Last name / Nazwisko,Phone number / numer telefonu,I choose / wybieram,I sign up as a / zapisuję się jako,Name of the partner if you are singing up as a pair / imię partnera/partnerki jeśli zapisujesz się w parze,I sign up for level* / zapisuję się na poziom*,I sign up for level* / zapisuję się na poziom*,"T-shirt
If you don't want a T-shirt, skip this section ... but remember, that somewhere a unicorn will weep
Jeśli nie chcesz koszulki, pomiń tą sekcję... ale pamiętaj, że gdzieś na świecie zaszlocha jakiś jednorożec

Price: 12 Euro / Cena: 50 zł","""Female""/""male"" / model 'damski' lub 'męski'",Size / Rozmiar,"To finish your registration, you need to accept the regulations (linked below). Aby zakończyć rejestrację konieczna jest akceptacja regulaminu.","If you want to tell us something nice/prepare a performance/have an offer, this is the perfect spot to write it down ;)
Jeśli chcesz nam powiedzieć coś miłego/przygotować perfo/masz jakąś propozycję... daj nam znać tu"
2023-04-01 21:46:14,daoncph@gmail.com,Warszawa,cespkdm,cgatisv,889512886,Lindy Hop Pass,Lead,,Lindy hop intermediate/advanced,,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,
2023-04-01 21:47:46,tlptswr@gmail.com,Wrocław,rnczhdg,yonpunf,284213549,Solo Jazz Pass,,,,Solo jazz advanced,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,
2023-04-01 21:48:07,pclymjo@gmail.com,krakow,vesmfop,dmljmup,452832992,Lindy Hop Pass,Follow,dgjgvay,Lindy hop advanced,,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,
2023-04-01 21:51:34,hjdtnbk@gmail.com,Nysa,gxjiyha,esrshcv,178688569,Full Pass aka KOXu Pass,Follow,cudtfje,Lindy hop advanced,,I want a t-shirt/ Chcę koszulkę,"""male"" / ""męski""",M,I accept,
2023-04-01 21:55:25,xamodcn@gmail.com,Kraków,wqzcllj,obdoapb,875875885,Lindy Hop Pass,Lead,zbthzql,Lindy hop advanced,,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,rrslklt
2023-04-01 21:58:13,obmxxet@gmail.com,Gdansk,fdbxkic,waphlsl,394549466,Lindy Hop Pass,Lead,,Lindy hop intermediate,,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,
2023-04-01 22:15:40,qjlzafg@gmail.com,Wrocław,zwtpuwy,axsgvjk,251367555,Solo Jazz Pass,,,,Solo jazz advanced,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,udvisuc
2023-04-01 22:16:59,mfcawnm@gmail.com,Łódź ,xfdcjjz,koturcf,338761171,Lindy Hop Pass,Follow,hnjfhhg,Lindy hop advanced,,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,gcrjndn
2023-04-01 22:18:27,vxfrgrh@gmail.com,Lodz,lhfbwii,dgsgwse,495228376,Lindy Hop Pass,Lead,ldbmoml,Lindy hop advanced,,I want a t-shirt/ Chcę koszulkę,"""male"" / ""męski""",L,I accept,
2023-04-01 22:45:16,gzmvosh@gmail.com,Łódź ,agqyfsy,nrgirqp,139428856,Lindy Hop Pass,Follow,,Lindy hop intermediate/advanced,,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,
2023-04-01 23:11:08,kqmnfyq@gmail.com,Łódź,tzriwba,yynyurh,612192318,Lindy Hop Pass,Follow,,Lindy hop intermediate/advanced,,I want a t-shirt/ Chcę koszulkę,"""female"" / ""damski""",M,I accept,
2023-04-02 01:54:48,kfwdeol@gmail.com,Z Poznania ,aefsbbm,ytmletn,827169371,Lindy Hop Pass,Lead,,Lindy hop advanced,,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,mnbhcap
2023-04-02 11:37:48,vpvjrdw@gmail.com,Katowice,bpkejjk,lnzxeas,182792548,Solo Jazz Pass,,,,Solo jazz advanced,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,
2023-04-02 14:02:20,azahfvm@gmail.com,Łódź,akoauwb,whokxbo,724229196,Full Pass aka KOXu Pass,Follow,,Lindy hop intermediate/advanced,,I want a t-shirt/ Chcę koszulkę,"""male"" / ""męski""",L,I accept,tvgyrmq
2023-04-02 15:22:49,atofmgc@gmail.com,Z przybyszewskiego xd,txppbby,xcqsqqr,789338775,Solo Jazz Pass,,,,Solo jazz intermediate/advanced,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,jfbsqnm
2023-04-02 15:54:51,jqyssxk@gmail.com,,nnbidnf,xeuwagl,313921892,Full Pass aka KOXu Pass,Follow,,Lindy hop intermediate/advanced,,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,
2023-04-02 17:58:20,byfifpj@gmail.com,Wrocław,eycbnqr,bjhesfo,942985493,Lindy Hop Pass,Lead,lgoxgjy,Lindy hop advanced,,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,
2023-04-02 17:59:41,nozwsht@gmail.com,Wrocław,yotygnv,oqefvof,484453678,Lindy Hop Pass,Follow,smxkbox,Lindy hop advanced,,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,
2023-04-02 22:15:36,ntvesrh@gmail.com,Wrocław,msmwkkf,suiaahs,332583448,Solo Jazz Pass,,,,Solo jazz intermediate/advanced,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,jarqaag
2023-04-03 08:45:33,pyvkwtm@gmail.com,Gdynia,otzdehc,buxemoo,884626157,Solo Jazz Pass,,,,Solo jazz intermediate/advanced,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,
